epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8689,1.38022,1.66524,1.04148,0.48161,0.39168,0.36976,0.22119,1.26327,1.07366,0.99047,0.00331897,0.00331897,0.0701293
2,107.197,1.30691,1.11932,0.99912,0.55091,0.44873,0.44589,0.27272,1.21341,0.97781,0.97137,0.00665189,0.00665189,0.0401289
3,157.252,1.33374,1.09204,1.00754,0.51609,0.4365,0.42254,0.25627,1.2598,1.03447,0.99493,0.00998319,0.00998319,0.0101269
4,206.285,1.35729,1.07426,1.02099,0.53581,0.43377,0.43216,0.2581,1.26795,0.99491,0.9946,0.0099945,0.0099945,0.0099945
5,255.323,1.30114,1.01255,1.0028,0.54604,0.45116,0.44173,0.26434,1.28062,0.97953,0.99879,0.00999023,0.00999023,0.00999023
6,304.613,1.30369,0.98639,1.00002,0.57104,0.45018,0.45608,0.27684,1.24664,0.94644,0.98949,0.00998474,0.00998474,0.00998474
7,354.345,1.31112,0.98181,1.00662,0.56574,0.47155,0.47417,0.29004,1.23586,0.92037,0.98454,0.00997803,0.00997803,0.00997803
8,404.049,1.29582,0.94875,0.99211,0.60389,0.46984,0.48769,0.30059,1.21451,0.90642,0.97861,0.00997011,0.00997011,0.00997011
9,453.475,1.29126,0.94445,0.99895,0.59143,0.47047,0.48433,0.29759,1.22174,0.92212,0.98191,0.00996097,0.00996097,0.00996097
10,503.09,1.28921,0.93424,0.99294,0.58803,0.49386,0.49893,0.30332,1.21801,0.88936,0.98036,0.00995062,0.00995062,0.00995062
11,552.746,1.28404,0.91828,0.98709,0.61351,0.49386,0.50938,0.31328,1.22233,0.87986,0.98022,0.00993906,0.00993906,0.00993906
12,602.693,1.26147,0.89192,0.99294,0.6062,0.49837,0.50282,0.30595,1.22956,0.88523,0.98268,0.00992629,0.00992629,0.00992629
13,651.79,1.24938,0.867,0.99005,0.61242,0.50723,0.5142,0.31783,1.21576,0.87093,0.9804,0.00991232,0.00991232,0.00991232
14,701.086,1.25189,0.8641,0.98748,0.62004,0.4974,0.51436,0.31803,1.20546,0.86234,0.97616,0.00989715,0.00989715,0.00989715
15,750.257,1.224,0.85304,0.9782,0.6167,0.51944,0.53216,0.32822,1.2004,0.85547,0.97365,0.00988079,0.00988079,0.00988079
16,799.586,1.21673,0.85061,0.97602,0.62032,0.51627,0.52481,0.32367,1.19456,0.85459,0.97102,0.00986323,0.00986323,0.00986323
17,848.439,1.23058,0.84419,0.97632,0.62266,0.51767,0.53097,0.33008,1.19282,0.85622,0.97059,0.00984449,0.00984449,0.00984449
18,897.536,1.20843,0.82984,0.97384,0.62234,0.50972,0.52886,0.32563,1.19747,0.84535,0.9684,0.00982456,0.00982456,0.00982456
19,946.2,1.23257,0.82882,0.97792,0.62865,0.51071,0.52948,0.32843,1.2009,0.84392,0.97175,0.00980345,0.00980345,0.00980345
20,994.945,1.22347,0.83018,0.97753,0.63486,0.52687,0.54088,0.33503,1.18578,0.83003,0.96568,0.00978118,0.00978118,0.00978118
21,1044.3,1.20291,0.80974,0.97281,0.61954,0.52244,0.53403,0.32984,1.1838,0.83548,0.96814,0.00975773,0.00975773,0.00975773
22,1093.88,1.21033,0.80988,0.97551,0.63194,0.52808,0.54316,0.33761,1.18693,0.82262,0.96616,0.00973312,0.00973312,0.00973312
23,1143.3,1.21075,0.8051,0.9751,0.6291,0.52501,0.54056,0.33475,1.18536,0.83348,0.96998,0.00970736,0.00970736,0.00970736
24,1192.57,1.2004,0.79013,0.97585,0.62741,0.53586,0.54332,0.33843,1.18066,0.82983,0.96644,0.00968045,0.00968045,0.00968045
25,1242.13,1.19452,0.7992,0.96865,0.64119,0.53909,0.55405,0.33909,1.19189,0.81691,0.96677,0.00965239,0.00965239,0.00965239
26,1291.61,1.21889,0.80141,0.96892,0.65234,0.53219,0.54468,0.33934,1.18904,0.82474,0.96571,0.0096232,0.0096232,0.0096232
27,1340.58,1.20421,0.79525,0.96631,0.63469,0.54069,0.55094,0.34272,1.17978,0.81717,0.96567,0.00959289,0.00959289,0.00959289
28,1390.11,1.17148,0.76967,0.95601,0.6377,0.53671,0.55186,0.34468,1.17428,0.81228,0.96162,0.00956145,0.00956145,0.00956145
29,1439.78,1.2094,0.7833,0.96808,0.64052,0.53559,0.5538,0.346,1.17496,0.80659,0.96394,0.00952889,0.00952889,0.00952889
