epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.104,1.73257,3.10589,1.09911,0.04116,0.19496,0.07872,0.04464,1.20174,2.5294,0.78504,0.00326923,0.00326923,0.0705769
2,32.8405,1.69555,1.84455,1.05382,0.07669,0.35242,0.14004,0.07519,1.28923,1.78103,0.80044,0.00660004,0.00660004,0.0405744
3,42.5987,1.70471,1.66584,1.04518,0.29307,0.21662,0.15793,0.08423,1.2819,1.24536,0.81842,0.00992074,0.00992074,0.0105618
4,52.4922,1.65174,1.56018,1.03598,0.26078,0.23725,0.16461,0.08503,1.36196,1.21506,0.83971,0.00996569,0.00996569,0.00996569
5,62.2568,1.63926,1.45151,1.01971,0.33197,0.28124,0.21847,0.11966,1.21477,1.07451,0.78674,0.00993906,0.00993906,0.00993906
6,71.7262,1.60199,1.393,1.0107,0.35256,0.30301,0.24548,0.13762,1.16306,1.01504,0.78106,0.00990489,0.00990489,0.00990489
7,81.1951,1.58185,1.34112,1.00191,0.36584,0.29493,0.23784,0.13244,1.18272,1.02671,0.77072,0.00986323,0.00986323,0.00986323
8,90.956,1.56203,1.29881,0.99663,0.3223,0.26274,0.19745,0.10882,1.23304,1.09389,0.78188,0.00981415,0.00981415,0.00981415
9,100.397,1.56522,1.26237,0.98888,0.3912,0.32589,0.27596,0.15634,1.14841,0.95183,0.7612,0.00975773,0.00975773,0.00975773
10,109.678,1.56613,1.25406,0.98736,0.37747,0.30532,0.2578,0.14499,1.15487,0.9456,0.76675,0.00969405,0.00969405,0.00969405
11,119.181,1.56209,1.23745,0.98689,0.42764,0.33229,0.30305,0.16947,1.14832,0.91942,0.76867,0.0096232,0.0096232,0.0096232
12,128.842,1.49014,1.19261,0.98325,0.43404,0.32762,0.29613,0.16716,1.12479,0.91908,0.76227,0.00954531,0.00954531,0.00954531
13,138.249,1.52824,1.20399,0.98615,0.38706,0.3197,0.27522,0.1559,1.1459,0.9371,0.76192,0.00946048,0.00946048,0.00946048
14,147.393,1.5107,1.17275,0.98413,0.40891,0.32365,0.29023,0.16664,1.12588,0.92485,0.75245,0.00936886,0.00936886,0.00936886
15,156.58,1.48296,1.14605,0.97575,0.41194,0.3342,0.29549,0.16865,1.11766,0.88777,0.75574,0.00927057,0.00927057,0.00927057
16,165.712,1.50573,1.15592,0.97306,0.44186,0.33649,0.29809,0.17199,1.1243,0.88809,0.75059,0.00916577,0.00916577,0.00916577
17,174.885,1.48719,1.14828,0.97508,0.44995,0.35664,0.32361,0.18764,1.10031,0.86382,0.7497,0.00905463,0.00905463,0.00905463
18,184.003,1.4767,1.1341,0.96814,0.42921,0.33631,0.31453,0.1835,1.10839,0.87161,0.7519,0.00893732,0.00893732,0.00893732
19,193.174,1.45329,1.10926,0.96771,0.43479,0.36596,0.324,0.18419,1.11106,0.8665,0.7523,0.00881401,0.00881401,0.00881401
20,202.369,1.44933,1.09592,0.96777,0.46372,0.35293,0.32492,0.18762,1.08683,0.87687,0.74794,0.0086849,0.0086849,0.0086849
21,211.873,1.46109,1.10063,0.96645,0.45764,0.35546,0.32243,0.18526,1.08994,0.87487,0.74782,0.00855018,0.00855018,0.00855018
22,221.199,1.45038,1.08672,0.9623,0.43991,0.36048,0.32471,0.1871,1.07506,0.87211,0.7428,0.00841006,0.00841006,0.00841006
23,230.375,1.44553,1.08702,0.96739,0.45628,0.35658,0.33952,0.19839,1.07857,0.83805,0.73983,0.00826477,0.00826477,0.00826477
24,239.432,1.43727,1.08709,0.96024,0.46156,0.36375,0.34124,0.19626,1.08192,0.85182,0.74549,0.00811452,0.00811452,0.00811452
25,248.587,1.445,1.07674,0.96775,0.46956,0.35537,0.33869,0.19217,1.10612,0.85084,0.74994,0.00795954,0.00795954,0.00795954
26,257.929,1.44574,1.07222,0.95933,0.44978,0.35887,0.33095,0.1918,1.0935,0.85063,0.74823,0.00780007,0.00780007,0.00780007
27,267.232,1.42415,1.06424,0.95705,0.45609,0.37141,0.33663,0.19216,1.0991,0.83517,0.74511,0.00763637,0.00763637,0.00763637
28,276.573,1.43222,1.05952,0.95708,0.45351,0.36751,0.34995,0.20309,1.07369,0.81813,0.73989,0.00746868,0.00746868,0.00746868
29,285.56,1.40346,1.03816,0.95292,0.48837,0.35968,0.34112,0.19678,1.08355,0.82449,0.73782,0.00729725,0.00729725,0.00729725
30,294.729,1.42127,1.04077,0.95212,0.45322,0.36284,0.33699,0.19383,1.08414,0.83778,0.73969,0.00712237,0.00712237,0.00712237
31,303.745,1.39926,1.03743,0.95264,0.48171,0.3712,0.35253,0.20418,1.07351,0.81032,0.73718,0.00694428,0.00694428,0.00694428
32,312.66,1.40818,1.02818,0.9498,0.48035,0.36564,0.34415,0.19765,1.0788,0.84249,0.73998,0.00676328,0.00676328,0.00676328
33,321.734,1.41164,1.02392,0.94736,0.4875,0.37771,0.36106,0.21065,1.06219,0.80875,0.73731,0.00657963,0.00657963,0.00657963
34,330.716,1.41649,1.0268,0.953,0.46682,0.36658,0.33671,0.19252,1.08472,0.83575,0.7438,0.00639363,0.00639363,0.00639363
35,339.691,1.42771,1.03024,0.95416,0.4547,0.39022,0.36523,0.20979,1.0626,0.80661,0.73863,0.00620555,0.00620555,0.00620555
36,348.524,1.41226,1.0215,0.95141,0.48314,0.37443,0.35733,0.20942,1.06227,0.8111,0.73634,0.0060157,0.0060157,0.0060157
37,357.591,1.39686,1.00874,0.95202,0.4823,0.37623,0.3614,0.2102,1.06681,0.81488,0.73507,0.00582435,0.00582435,0.00582435
38,366.743,1.40187,1.00576,0.94282,0.46961,0.38521,0.36239,0.20916,1.05956,0.80357,0.73728,0.00563181,0.00563181,0.00563181
39,375.868,1.40383,1.01089,0.94608,0.50024,0.36509,0.35846,0.20757,1.07152,0.81073,0.73714,0.00543837,0.00543837,0.00543837
40,384.742,1.39147,1.00733,0.94289,0.48863,0.39037,0.37018,0.21484,1.05487,0.79451,0.73106,0.00524434,0.00524434,0.00524434
41,393.621,1.37872,0.9863,0.94314,0.48239,0.38213,0.36145,0.21118,1.04232,0.79606,0.73117,0.00505,0.00505,0.00505
42,402.573,1.39876,1.00598,0.94164,0.49392,0.3835,0.36417,0.21368,1.0491,0.79284,0.73047,0.00485566,0.00485566,0.00485566
43,411.675,1.36991,0.98908,0.93969,0.48371,0.3885,0.37399,0.21724,1.052,0.7884,0.73269,0.00466163,0.00466163,0.00466163
44,420.606,1.37513,0.99072,0.93933,0.49198,0.38284,0.37317,0.21793,1.04795,0.7886,0.72883,0.00446819,0.00446819,0.00446819
45,429.701,1.36688,0.97114,0.9358,0.49163,0.39064,0.37311,0.21823,1.04545,0.77929,0.7303,0.00427565,0.00427565,0.00427565
46,438.712,1.37045,0.97412,0.93879,0.48802,0.38703,0.37676,0.22093,1.04975,0.78259,0.73128,0.0040843,0.0040843,0.0040843
47,447.669,1.36808,0.97887,0.94376,0.49454,0.38482,0.3675,0.21418,1.05513,0.79052,0.72979,0.00389445,0.00389445,0.00389445
48,456.639,1.36555,0.97133,0.94139,0.49336,0.38767,0.37013,0.21632,1.05025,0.78443,0.72918,0.00370637,0.00370637,0.00370637
49,466.165,1.36814,0.96121,0.93794,0.50664,0.39257,0.38428,0.22438,1.03857,0.77265,0.72906,0.00352037,0.00352037,0.00352037
50,475.093,1.36659,0.96455,0.9406,0.50164,0.39139,0.38243,0.22289,1.04735,0.77657,0.72749,0.00333672,0.00333672,0.00333672
51,484.188,1.37489,0.97094,0.93319,0.51144,0.38406,0.38237,0.2243,1.03941,0.77212,0.72828,0.00315572,0.00315572,0.00315572
52,493.116,1.36074,0.95507,0.93822,0.49951,0.39569,0.38324,0.2242,1.04259,0.77753,0.72613,0.00297763,0.00297763,0.00297763
53,501.92,1.33716,0.94768,0.93132,0.49403,0.39581,0.38441,0.22585,1.03706,0.77257,0.72702,0.00280275,0.00280275,0.00280275
54,510.794,1.32784,0.93554,0.93196,0.50914,0.39854,0.39065,0.2289,1.03965,0.76447,0.72691,0.00263132,0.00263132,0.00263132
55,519.826,1.34515,0.94567,0.93322,0.50193,0.39312,0.38889,0.22743,1.03658,0.76321,0.72656,0.00246363,0.00246363,0.00246363
56,528.857,1.35182,0.94289,0.92871,0.50748,0.39294,0.39102,0.22861,1.03513,0.7628,0.72612,0.00229993,0.00229993,0.00229993
57,537.743,1.33396,0.92848,0.9301,0.51201,0.39013,0.38423,0.22554,1.03854,0.77,0.72604,0.00214046,0.00214046,0.00214046
58,546.732,1.34332,0.93405,0.93021,0.49592,0.40837,0.39362,0.23035,1.04287,0.76587,0.7273,0.00198548,0.00198548,0.00198548
59,555.602,1.32879,0.92539,0.92469,0.5063,0.39157,0.38576,0.22677,1.03359,0.76308,0.72512,0.00183523,0.00183523,0.00183523
60,564.719,1.32679,0.92413,0.93252,0.5221,0.39457,0.39243,0.2294,1.03332,0.75725,0.72356,0.00168994,0.00168994,0.00168994
61,573.959,1.33067,0.92514,0.92979,0.49893,0.40283,0.39011,0.22878,1.03416,0.76184,0.72421,0.00154982,0.00154982,0.00154982
62,582.904,1.33805,0.92063,0.93107,0.51424,0.40618,0.39502,0.23169,1.03188,0.75951,0.72385,0.0014151,0.0014151,0.0014151
