output_dir,experiment_name,model_name,pretrained,backbone_lr,head_lr,epochs,weight_decay,dropout,label_smoothing,best_epoch,best_val_acc,test_acc
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030126_swin_t_pretrained,swin_t_pretrained,swin_t,True,0.0001,0.001,20,0.0001,0,0,11,0.9637023593,0.9250476969
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031052_hparam_p2_bestlr_dropout_0p2,hparam_p2_bestlr_dropout_0p2,resnet18,True,3e-05,0.0003,20,0.0001,0.2,0,7,0.9491833031,0.894521668
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031052_hparam_p2_bestlr_wd_5e-4,hparam_p2_bestlr_wd_5e-4,resnet18,True,3e-05,0.0003,20,0.0005,0,0,7,0.9491833031,0.8939765604
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031627_hparam_p3_final_lr_dropout,hparam_p3_final_lr_dropout,resnet18,True,3e-05,0.0003,20,0.0001,0.2,0,7,0.9491833031,0.894521668
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031627_hparam_p3_final_lr_ep_wd,hparam_p3_final_lr_ep_wd,resnet18,True,3e-05,0.0003,20,0.0005,0,0,7,0.9491833031,0.8939765604
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031627_hparam_p3_final_lr_ep_wd_dropout,hparam_p3_final_lr_ep_wd_dropout,resnet18,True,3e-05,0.0003,20,0.0005,0.2,0,7,0.9491833031,0.8953393295
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031627_hparam_p3_final_lr_wd,hparam_p3_final_lr_wd,resnet18,True,3e-05,0.0003,20,0.0005,0,0,7,0.9491833031,0.8939765604
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030657_hparam_p1_lr_3e-5_3e-4,hparam_p1_lr_3e-5_3e-4,resnet18,True,3e-05,0.0003,20,0.0001,0,0,7,0.9473684211,0.8950667757
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031052_hparam_p2_bestlr_ep20,hparam_p2_bestlr_ep20,resnet18,True,3e-05,0.0003,20,0.0001,0,0,7,0.9473684211,0.8950667757
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031627_hparam_p3_final_lr_ep,hparam_p3_final_lr_ep,resnet18,True,3e-05,0.0003,20,0.0001,0,0,7,0.9473684211,0.8950667757
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030657_hparam_p1_lr_1e-4_5e-4,hparam_p1_lr_1e-4_5e-4,resnet18,True,0.0001,0.0005,20,0.0001,0,0,7,0.943738657,0.8871627146
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031052_hparam_p2_bestlr_ep30,hparam_p2_bestlr_ep30,resnet18,True,3e-05,0.0003,30,0.0001,0,0,7,0.943738657,0.896156991
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031052_hparam_p2_bestlr_ls_0p1,hparam_p2_bestlr_ls_0p1,resnet18,True,3e-05,0.0003,20,0.0001,0,0.1,7,0.943738657,0.8958844372
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031052_hparam_p2_bestlr_wd_5e-5,hparam_p2_bestlr_wd_5e-5,resnet18,True,3e-05,0.0003,20,5e-05,0,0,7,0.943738657,0.8947942219
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031627_hparam_p3_final_lr_ep_wd_ls,hparam_p3_final_lr_ep_wd_ls,resnet18,True,3e-05,0.0003,20,0.0005,0,0.1,7,0.943738657,0.8956118833
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031627_hparam_p3_final_lr_ls,hparam_p3_final_lr_ls,resnet18,True,3e-05,0.0003,20,0.0001,0,0.1,7,0.943738657,0.8958844372
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030657_hparam_p1_lr_1e-4_2e-3,hparam_p1_lr_1e-4_2e-3,resnet18,True,0.0001,0.002,20,0.0001,0,0,9,0.941923775,0.8844371763
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030657_hparam_p1_lr_5e-5_5e-4,hparam_p1_lr_5e-5_5e-4,resnet18,True,5e-05,0.0005,20,0.0001,0,0,17,0.941923775,0.896156991
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030126_resnet18_pretrained,resnet18_pretrained,resnet18,True,0.0001,0.001,20,0.0001,0,0,4,0.9401088929,0.8792586536
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030126_vit_tiny_pretrained,vit_tiny_pretrained,vit_tiny,True,0.0001,0.001,20,0.0001,0,0,16,0.9401088929,0.8986099755
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030657_hparam_p1_lr_1e-4_1e-3,hparam_p1_lr_1e-4_1e-3,resnet18,True,0.0001,0.001,20,0.0001,0,0,4,0.9401088929,0.8792586536
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_031052_hparam_p2_bestlr_ep10,hparam_p2_bestlr_ep10,resnet18,True,3e-05,0.0003,10,0.0001,0,0,7,0.9401088929,0.896156991
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030658_hparam_p1_lr_2e-4_2e-3,hparam_p1_lr_2e-4_2e-3,resnet18,True,0.0002,0.002,20,0.0001,0,0,10,0.9364791289,0.8718997002
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030126_se_resnet18_pretrained,se_resnet18_pretrained,se_resnet18,True,0.0001,0.001,20,0.0001,0,0,18,0.9292196007,0.8909784682
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030126_cbam_resnet18_pretrained,cbam_resnet18_pretrained,cbam_resnet18,True,0.0001,0.001,20,0.0001,0,0,19,0.9183303085,0.8678113928
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030657_hparam_p1_lr_3e-4_3e-3,hparam_p1_lr_3e-4_3e-3,resnet18,True,0.0003,0.003,20,0.0001,0,0,20,0.9128856624,0.8806214227
/mnt/data/huangyingqian/code/CV/task1/outputs/20260429_030126_resnet18_scratch,resnet18_scratch,resnet18,False,0.001,0.001,30,0.0001,0,0,28,0.5952813067,0.5110384301
