image,annotation,debug_image,original_valid_boxes,original_ignored_rows,converted_yolo_boxes,yolo_issues
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999985_00000_d_0000006.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999985_00000_d_0000006.txt,task2/report_assets/label_debug_train/9999985_00000_d_0000006_label_debug.jpg,27,3,27,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000303_00801_d_0000187.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000303_00801_d_0000187.txt,task2/report_assets/label_debug_train/0000303_00801_d_0000187_label_debug.jpg,245,9,245,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000134_01332_d_0000146.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000134_01332_d_0000146.txt,task2/report_assets/label_debug_train/0000134_01332_d_0000146_label_debug.jpg,162,2,162,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999999_00049_d_0000011.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999999_00049_d_0000011.txt,task2/report_assets/label_debug_train/9999999_00049_d_0000011_label_debug.jpg,43,1,43,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999950_00000_d_0000011.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999950_00000_d_0000011.txt,task2/report_assets/label_debug_train/9999950_00000_d_0000011_label_debug.jpg,17,0,17,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999943_00000_d_0000076.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999943_00000_d_0000076.txt,task2/report_assets/label_debug_train/9999943_00000_d_0000076_label_debug.jpg,54,4,54,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999942_00000_d_0000168.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999942_00000_d_0000168.txt,task2/report_assets/label_debug_train/9999942_00000_d_0000168_label_debug.jpg,73,0,73,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000339_03725_d_0000180.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000339_03725_d_0000180.txt,task2/report_assets/label_debug_train/0000339_03725_d_0000180_label_debug.jpg,77,2,77,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999998_00408_d_0000360.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999998_00408_d_0000360.txt,task2/report_assets/label_debug_train/9999998_00408_d_0000360_label_debug.jpg,14,0,14,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000281_02201_d_0000638.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000281_02201_d_0000638.txt,task2/report_assets/label_debug_train/0000281_02201_d_0000638_label_debug.jpg,29,2,29,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999994_00000_d_0000035.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999994_00000_d_0000035.txt,task2/report_assets/label_debug_train/9999994_00000_d_0000035_label_debug.jpg,24,0,24,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999999_00031_d_0000004.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999999_00031_d_0000004.txt,task2/report_assets/label_debug_train/9999999_00031_d_0000004_label_debug.jpg,25,0,25,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999974_00000_d_0000016.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999974_00000_d_0000016.txt,task2/report_assets/label_debug_train/9999974_00000_d_0000016_label_debug.jpg,29,0,29,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000257_04349_d_0000067.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000257_04349_d_0000067.txt,task2/report_assets/label_debug_train/0000257_04349_d_0000067_label_debug.jpg,63,1,63,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999982_00000_d_0000037.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999982_00000_d_0000037.txt,task2/report_assets/label_debug_train/9999982_00000_d_0000037_label_debug.jpg,29,1,29,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999960_00000_d_0000005.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999960_00000_d_0000005.txt,task2/report_assets/label_debug_train/9999960_00000_d_0000005_label_debug.jpg,17,0,17,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000143_00681_d_0000051.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000143_00681_d_0000051.txt,task2/report_assets/label_debug_train/0000143_00681_d_0000051_label_debug.jpg,204,9,204,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000142_01658_d_0000031.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000142_01658_d_0000031.txt,task2/report_assets/label_debug_train/0000142_01658_d_0000031_label_debug.jpg,143,9,143,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000263_04401_d_0000189.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000263_04401_d_0000189.txt,task2/report_assets/label_debug_train/0000263_04401_d_0000189_label_debug.jpg,6,0,6,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999942_00000_d_0000131.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999942_00000_d_0000131.txt,task2/report_assets/label_debug_train/9999942_00000_d_0000131_label_debug.jpg,31,0,31,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999942_00000_d_0000245.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999942_00000_d_0000245.txt,task2/report_assets/label_debug_train/9999942_00000_d_0000245_label_debug.jpg,31,0,31,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999967_00000_d_0000034.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999967_00000_d_0000034.txt,task2/report_assets/label_debug_train/9999967_00000_d_0000034_label_debug.jpg,83,0,83,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999982_00000_d_0000131.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999982_00000_d_0000131.txt,task2/report_assets/label_debug_train/9999982_00000_d_0000131_label_debug.jpg,91,0,91,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000137_00509_d_0000159.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000137_00509_d_0000159.txt,task2/report_assets/label_debug_train/0000137_00509_d_0000159_label_debug.jpg,162,3,162,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999977_00000_d_0000055.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999977_00000_d_0000055.txt,task2/report_assets/label_debug_train/9999977_00000_d_0000055_label_debug.jpg,35,0,35,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999940_00000_d_0000069.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999940_00000_d_0000069.txt,task2/report_assets/label_debug_train/9999940_00000_d_0000069_label_debug.jpg,51,0,51,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999998_00230_d_0000186.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999998_00230_d_0000186.txt,task2/report_assets/label_debug_train/9999998_00230_d_0000186_label_debug.jpg,41,3,41,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999987_00000_d_0000012.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999987_00000_d_0000012.txt,task2/report_assets/label_debug_train/9999987_00000_d_0000012_label_debug.jpg,57,0,57,
